"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"207",6,6,"🇨🇳","Peng / Jin",67.31,68.63,135.94,2.47,8.55,2019,"4CC","FS"
"208",7,7,"🇨🇳","Peng / Jin",65.66,69.49,135.15,1.85,8.69,2022,"GPITA","FS"
"209",8,8,"🇨🇳","Peng / Jin",67.68,67.2,134.88,3.07,8.34,2019,"ASNTRO","FS"
"210",9,9,"🇨🇳","Peng / Jin",66.2,68.4,134.6,2.59,8.56,2020,"GPF","FS"
"211",10,10,"🇨🇳","Peng / Jin",65.33,68.4,132.73,2.49,8.54,2020,"SHATRO","FS"
"212",11,11,"🇨🇳","Peng / Jin",63.35,68.4,131.75,1.62,8.53,2022,"OLYT","FS"
"213",12,12,"🇨🇳","Peng / Jin",63.59,67.88,131.47,2.21,8.47,2020,"GPCHN","FS"
"214",13,13,"🇨🇳","Peng / Jin",63.92,66.35,130.27,1.88,8.28,2022,"ASNTRO","FS"
"215",14,14,"🇨🇳","Peng / Jin",64.57,66.29,129.86,1.97,8.29,2021,"WC","FS"
"216",15,15,"🇨🇳","Peng / Jin",64.5,64.58,129.08,2.41,8.06,2019,"GPCAN","FS"
"217",16,16,"🇨🇳","Peng / Jin",63.05,66.11,128.16,2.05,8.27,2020,"GPUSA","FS"
"218",17,17,"🇨🇳","Peng / Jin",56.02,61.12,116.14,1.38,7.64,2020,"USCLA","FS"
"219",18,18,"🇨🇳","Peng / Jin",43.3,33.82,77.12,3.11,8.44,2020,"SHATRO","SP"
"220",19,19,"🇨🇳","Peng / Jin",41.79,34.92,76.71,3.05,8.69,2022,"GPITA","SP"
"221",20,20,"🇨🇳","Peng / Jin",40.87,35.23,76.1,2.94,8.81,2022,"OLY","SP"
"222",21,21,"🇨🇳","Peng / Jin",41.57,34.39,75.96,2.87,8.63,2020,"4CC","SP"
"223",22,22,"🇨🇳","Peng / Jin",42.29,33.4,75.69,3.19,8.37,2019,"GPF","SP"
"224",23,23,"🇨🇳","Peng / Jin",41.28,34.23,75.51,3.29,8.57,2019,"WC","SP"
"225",24,24,"🇨🇳","Peng / Jin",39.23,33.5,72.73,1.9,8.3,2020,"GPUSA","SP"
"226",25,25,"🇨🇳","Peng / Jin",40.44,31.56,72,2.6,7.88,2019,"GPCAN","SP"
"227",26,26,"🇨🇳","Peng / Jin",39.14,32.4,71.54,2.8,8.01,2019,"ASNTRO","SP"
"228",27,27,"🇨🇳","Peng / Jin",37.54,34.78,71.32,2.44,8.62,2021,"WC","SP"
"229",28,28,"🇨🇳","Peng / Jin",38.4,32.26,70.66,2.73,8.07,2019,"GPJPN","SP"
